,Car_Name,Car_details,Endine_disp,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,cargo_volume,height,width,length,Gross_Weight,top_speed,Ownership,Year_of_Manufacture,Steering_Type,Car_price
27,2016 BMW X6 xDrive 40d M Sport,"52,000 kms • Diesel • Automatic",2993 ,15.87,5,Red,308.43,Disc,Disc,550-litres,1702,2170,4909,-,240 Kmph,Second Owner,2016,Power,₹ 54 Lakh
28,2014 Maruti Alto K10 VXI,"59,306 kms • Petrol • Manual",998 ,23.95,5,Silver,67.05,Ventilated Disc,Drum,177,1475,1515,3545,1210,145 Kmph,First Owner,2014,Power,₹ 3.46 Lakh
29,2018 Renault KWID 1.0 AMT RXL,"33,129 kms • Petrol • Automatic",999 ,24.04,5,Grey,67,Disc,Drum,300-litres,1478,1579,3679,-,159.4 kmph,Second Owner,2018,Power,₹ 4.22 Lakh
30,2018 Maruti Swift VXI,"48,500 kms • Petrol • Manual",1197 ,21.21,5,Red,81.80,Disc,Drum,268,1530,1735,3840,1315,-,First Owner,2018,Electric,₹ 6.39 Lakh
31,2017 Renault KWID 1.0 AMT RXT,"62,916 kms • Petrol • Automatic",999 ,24.04,5,Black,67,Disc,Drum,300,1478,1579,3679,-,159.4 kmph,First Owner,2017,Power,₹ 3.97 Lakh
32,2019 Honda City i-VTEC CVT ZX,"26,929 kms • Petrol • Automatic",1497 ,18,5,Black,117.6,Ventilated Disc,Drum,510,1495,1695,4440,1482,178.55 kmph,First Owner,2019,Power,₹ 12.10 Lakh
33,2021 Renault Kiger RXZ Turbo DT,"11,285 kms • Petrol • Manual",999 ,20.5,5,Blue,98.63,Disc,Drum,405,1605,1750,3991,-,-,First Owner,2021,Electric,₹ 9.22 Lakh
34,2019 BMW 5 Series 530d M Sport,"31,000 kms • Diesel • Automatic",2993 ,17.42,5,White,261.49,Ventilated Disc,Ventilated Disc,520-litres,1466,2126,4936,-,250kmph,Second Owner,2019,Power,₹ 57.50 Lakh
35,2016 Hyundai EON Magna Plus,"74,054 kms • Petrol • Manual",814 ,21.1,5,Red,55.2,Disc,Drum,215-litres,1500,1550,3495,-,135 Kmph,First Owner,2016,Power,₹ 3.22 Lakh
36,2022 Nissan Magnite Turbo CVT XV,"2,677 kms • Petrol • Automatic",999 ,17.4,5,Red,98.63,Disc,Drum,336,1572,1758,3994,-,-,First Owner,2022,Electronic,₹ 10.90 Lakh
37,2022 Maruti S-Presso VXi Opt AT,"2,785 kms • Petrol • Automatic",998 ,25.3,5,Black,65.71,Ventilated Disc,Drum,-,1567,1520,3565,1170,-,First Owner,2022,Power,₹ 6.07 Lakh
38,2016 Hyundai Creta 1.6 VTVT AT SX Plus,"70,035 kms • Petrol • Automatic",1591 ,13,5,Star Dust,121.3,Disc,Drum,400-litres,1630,1780,4270,-,-,Second Owner,2016,Power,₹ 9.99 Lakh
39,2014 Maruti Swift VVT VXI,"50,711 kms • Petrol • Manual",1197 ,22,5,Blue,81.80,Disc,Drum,-,1530,1735,3840,1315s,-,Second Owner,2014,Power,₹ 5.31 Lakh
40,2020 Kia Seltos GTX,"11,559 kms • Petrol • Manual",1353 ,16.8,5,White,113.43,Disc,Disc,433,1645,1800,4315,-,-,First Owner,2020,Electric,₹ 15.84 Lakh
41,2012 Maruti A-Star AT VXI,"45,848 kms • Petrol • Automatic",998 ,16.98,5,Grey,66.1,Ventilated Disc,Drum,-,1490,1600,3500,1320,-,First Owner,2012,Power,₹ 3.26 Lakh
42,2014 Porsche Cayman S Tiptronic,"17,000 kms • Petrol • Automatic",3436 ,16.12,2,Brown,325,Ventilated Disc,Ventilated Disc,425- litres,1295,1801,4380,1665,281 Kmph,First Owner,2014,Power,₹ 78 Lakh
43,2017 Honda City i VTEC V,"63,623 kms • Petrol • Manual",1497 ,17.8,5,Maroon,117.3,Disc,Drum,510-litres,1495,1695,4440,-,195 Kmph,First Owner,2017,Power,₹ 7.32 Lakh
44,2019 Kia Seltos HTK Plus G,"20,670 kms • Petrol • Manual",1497 ,16.8,5,White,113.43,Disc,Disc,433,1645,1800,4315,-,-,First Owner,2019,Electric,₹ 11.93 Lakh
45,2014 Hyundai Xcent 1.2 Kappa S,"65,846 kms • Petrol • Manual",1197 ,19.1,5,Grey,82,Disc,Drum,407-litres,1520,1660,3995,-,172 Kmph,First Owner,2014,Power,₹ 4.10 Lakh
46,2018 Renault KWID 1.0 RXT Optional AT 2016-2019,"59,545 kms • Petrol • Automatic",999 ,23.01,5,Red,67,Disc,Drum,300,1478,1579,3679,-,155.8 kmph,First Owner,2018,Power,₹ 4.46 Lakh
47,2022 Kia Sonet 1.5 GTX Plus Diesel AT DT,"3,556 kms • Diesel • Automatic",1493 ,-,,Maroon,113.42,Disc,Drum,392,1642,1790,3995,-,-,First Owner,2022,Electric,₹ 15.38 Lakh
48,2010 Hyundai i20 1.2 Asta,"76,022 kms • Petrol • Manual",1197 ,17,5,Grey,80 PS at 5200 rpm,Disk,Drum,-,1505 ,1710 ,3940 ,-,-,Second Owner,2010,Power,₹ 3.60 Lakh
49,2018 Renault Duster Petrol RXS CVT,"26,969 kms • Petrol • Automatic",1498 ,14.99,5,Black,104.5,Disc,Drum,475-litres,1695,1822,4315,1770,160 Kmph,Second Owner,2018,Power,₹ 8.20 Lakh
50,2015 Hyundai EON Magna Plus,"48,075 kms • Petrol • Manual",814 ,21.1,5,Blue,55.2,Disc,Drum,215-litres,1500,1550,3495,-,135 Kmph,First Owner,2015,Power,₹ 3.20 Lakh
51,2012 Maruti Wagon R VXI BS IV,"58,232 kms • Petrol • Manual",998 ,18.9,5,Maroon,67.1,Ventilated Disc,Drum,-,1700,1495,3595,1350,-,First Owner,2012,Power,₹ 3.45 Lakh
52,2022 Kia Seltos GTX Plus DCT,"1,007 kms • Petrol • Automatic",1353 ,16.5,5,Red,138.08,Disc,Disc,433,1645,1800,4315,-,-,Third Owner,2022,Electric,₹ 20.07 Lakh
53,2017 Maruti Celerio VXI AT Optional,"77,071 kms • Petrol • Automatic",998 ,23.1,5,Grey,67.04,Ventilated Disc,Drum,235-litres,1565,1635,3715,1250,150 Kmph,First Owner,2017,Power,₹ 4.94 Lakh
54,2012 Maruti Alto K10 2010-2014 VXI,"61,766 kms • Petrol • Manual",998 ,20.92,5,Maroon,67.1,Ventilated Disc,Drum,-,1460,1475,3620,1185,-,Second Owner,2012,Power,₹ 2.46 Lakh
55,2020 Kia Seltos GTX Plus,"23,936 kms • Petrol • Manual",1353 ,16.5,5,White,138.08,Disc,Disc,433,1645,1800,4315,-,-,First Owner,2020,Electric,₹ 16.52 Lakh
56,2012 Hyundai EON D Lite Plus,"47,732 kms • Petrol • Manual",814 ,21.1,5,White,55.2,Disc,Drum,215-litres,1500,1550,3495,-,135 Kmph,First Owner,2012,Power,₹ 2.36 Lakh
57,2016 Mercedes-Benz GLE 250d,"79,000 kms • Diesel • Automatic",2143 ,17.9,5,Blue,201.15,Ventilated Disc,Ventilated Disc,690-litres,1796,2141,4819,2950,212 Kmph,Second Owner,2016,Power,₹ 36.50 Lakh
58,2021 Hyundai Aura S AMT,"6,947 kms • Petrol • Automatic",1197 ,20.1,5,White,81.86,Disc,Drum,-,1520,1680,3995,-,-,Second Owner,2021,Electric,₹ 8.41 Lakh
59,2018 Hyundai Grand i10 1.2 Kappa Sportz Option AT,"16,550 kms • Petrol • Automatic",1197 ,18.9,5,Grey,81.86,Disc,Drum,256,1520,1660,3765,-,165 Kmph,Second Owner,2018,Power,₹ 6.43 Lakh
60,2021 Maruti Swift VXI,"13,266 kms • Petrol • Manual",1197 ,22.38,5,Grey,88.50,Disc,Drum,268,1530,1735,3845,1335,-,First Owner,2021,Electric,₹ 7.44 Lakh
61,2018 Honda WR-V i-VTEC VX,"23,277 kms • Petrol • Manual",1199 ,17.5,5,Black,88.7,Ventilated Disc,Drum,363 Litres,1601,1734,3999,-,164.26 kmph,First Owner,2018,Electric,₹ 7.53 Lakh
62,2022 Renault KWID Climber 1.0 MT DT,"13,311 kms • Petrol • Manual",999 ,21.74,5,Blue,67,Disc,Drum,279,1490,1579,3731,-,-,First Owner,2022,Electric,₹ 6.05 Lakh
63,2015 Maruti Swift Dzire ZXI,"43,672 kms • Petrol • Manual",1197 ,20.85,5,White,83.14,Ventilated Disc,Drum,320-liters,1555,1695,3995,1415,158 Kmph,First Owner,2015,Power,₹ 6.13 Lakh
64,2014 Mahindra XUV500 W6 2WD,"43,935 kms • Diesel • Manual",2179 ,15.1,7,Black,140,Disc & Caliper Type,Disc & Caliper Type,-,,,,,175 kmph,First Owner,2014,Power,₹ 9.28 Lakh
65,2020 Renault Triber RXZ EASY-R AMT,"20,718 kms • Petrol • Automatic",999 ,18.2,7,Blue,71.01,Disc,Drum,84,1643,1739,3991,-,-,Second Owner,2020,Electric,₹ 7.36 Lakh
66,2014 Hyundai Grand i10 Magna,"54,381 kms • Petrol • Manual",1197 ,18.9,5,Red,82,Disc,Drum,256-liters,1520,1660,3765,-,165 Kmph,First Owner,2014,Power,₹ 4.46 Lakh
67,2016 Honda Jazz 1.2 V i VTEC,"46,539 kms • Petrol • Manual",1199 ,18.7,5,Silver,88.7,Disc,Drum,354-litres,1544,1694,3955,-,172 Kmph,First Owner,2016,Power,₹ 6.16 Lakh
68,2020 Maruti Alto 800 VXI,"40,001 kms • Petrol • Manual",796 ,22.05,5,Blue,47.33,Disc,Drum,-,1475,1515,3445,1185,-,First Owner,2020,-,₹ 3.84 Lakh
