,Fuel_type,Running_in_kms,Endine_disp,Gear_transmission,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,height,width,length,Weight,top_speed,Brand,Model,car_price,city_name,Car_age
9753,Petrol,49000.0,1197.0,Manual,18.9,5.0,Maroon,82.0,Disc,Drum,1520.0,1660.0,3765.0,,165.0,Hyundai,Grand i10,399000.0,pune,7.0
9754,Diesel,108000.0,1968.0,Automatic,14.16,5.0,White,174.3,Ventilated Disc,Disc,1655.0,2089.0,4629.0,2430.0,200.0,Audi,Q5,2100000.0,pune,6.0
9755,Petrol,25000.0,1197.0,Automatic,17.4,5.0,White,81.86,Disc,Drum,1505.0,1734.0,3985.0,,151.0,Hyundai,i20,825000.0,pune,3.0
9756,Diesel,41000.0,1047.0,Automatic,24.7,5.0,Orange,69.0,Disc,Drum,1537.0,1677.0,3992.0,,,Tata,Tigor,499000.0,pune,4.0
9757,Petrol,68307.0,1197.0,Automatic,20.36,5.0,Red,78.9,Ventilated Disc,Drum,1550.0,1595.0,3585.0,,,Hyundai,Grand i10,229999.99999999997,pune,11.0
9758,Petrol,56000.0,1198.0,Manual,18.06,5.0,White,75.0,Ventilated Disc,Drum,1530.0,1665.0,3780.0,,158.0,Nissan,Micra,249000.00000000003,pune,10.0
9759,Petrol,58000.0,1198.0,Automatic,16.47,5.0,White,74.0,Disc,Drum,1469.0,1682.0,3971.0,1520.0,165.0,Volkswagen,Polo,455999.99999999994,pune,6.0
9760,Petrol,52200.0,1197.0,Manual,18.5,5.0,Grey,85.8,Ventilated Disc,Drum,1620.0,1680.0,3775.0,1430.0,156.0,Maruti,Ritz,425000.0,pune,7.0
9761,Diesel,55000.0,1497.0,Manual,21.5,5.0,Grey,108.5,Disc,Drum,1607.0,1811.0,3994.0,,154.0,Tata,Nexon,795000.0,pune,3.0
9762,Petrol,32000.0,998.0,Manual,20.51,5.0,White,67.0,Ventilated Disc,Drum,1700.0,1495.0,3599.0,1350.0,152.0,Maruti,Wagon R,425000.0,pune,4.0
9763,Petrol,32000.0,1197.0,Manual,17.71,5.0,Silver,78.9,Ventilated Disc,Drum,1510.0,1695.0,3884.0,,160.0,Toyota,Etios Liva,490000.00000000006,pune,4.0
9764,Diesel,59335.0,2967.0,Manual,14.94,5.0,Maroon,241.4,Ventilated Disc,Disc,1427.0,2040.0,4701.0,2055.0,250.0,Audi,A4,1691000.0,pune,5.0
9765,Petrol,84000.0,1086.0,Manual,19.81,5.0,Black,68.05,Ventilated Disc,Drum,1550.0,1595.0,3585.0,,165.0,Hyundai,Grand i10,235000.0,pune,11.0
9766,Petrol,106197.0,995.0,Manual,18.0,5.0,Misty Lake,62.0,Disc,Self-Adjusting Drum,1518.0,1495.0,3495.0,,156.0,Chevrolet,Spark,109000.00000000001,pune,12.0
9767,Petrol,121095.0,1086.0,Automatic,0.0,5.0,Golden,62.0,Ventilated Disc,Drum,1590.0,1525.0,3565.0,,141.0,Hyundai,Santro Xing,159000.0,pune,12.0
9768,Petrol,47277.0,995.0,Manual,18.0,5.0,White,62.0,Disc,Self-Adjusting Drum,1518.0,1495.0,3495.0,,156.0,Chevrolet,Spark,109000.00000000001,pune,13.0
9769,Petrol,50070.0,1197.0,Manual,18.9,5.0,Grey,81.86,Disc,Drum,1520.0,1660.0,3765.0,,,Hyundai,Grand i10,515000.00000000006,pune,3.0
9770,Diesel,46000.0,1198.0,Automatic,25.32,6.0,Black,77.0,Disc,Drum,1655.0,1715.0,3675.0,,160.0,Mahindra,KUV 100,455999.99999999994,pune,5.0
9771,Petrol,33000.0,1197.0,Automatic,18.9,5.0,Red,81.86,Disc,Drum,1520.0,1660.0,3765.0,,165.0,Hyundai,Grand i10,509999.99999999994,pune,4.0
9772,Diesel,85000.0,1396.0,Automatic,22.54,5.0,Red,88.73,Disc,Drum,1505.0,1734.0,3985.0,,180.0,Hyundai,i20,625000.0,pune,5.0
9773,Diesel,57000.0,2143.0,Manual,14.84,5.0,Silver,170.0,Ventilated Disc,Solid Disc,1447.0,1770.0,4591.0,2115.0,228.0,Mercedes-Benz,New C-Class,1050000.0,pune,10.0
9774,Petrol,82000.0,1086.0,Manual,0.0,5.0,Silver,62.0,Ventilated Disc,Drum,1590.0,1525.0,3565.0,,141.0,Hyundai,Santro Xing,150000.0,pune,13.0
9775,Diesel,63000.0,1248.0,Manual,25.2,5.0,White,74.0,Ventilated Disc,Drum,1530.0,1735.0,3840.0,1405.0,155.0,Maruti,Swift,675000.0,pune,3.0
9776,Diesel,59000.0,1248.0,Manual,25.2,5.0,White,74.0,Ventilated Disc,Drum,1530.0,1735.0,3840.0,1405.0,155.0,Maruti,Swift,770000.0,pune,2.0
9777,Petrol,54000.0,1798.0,Manual,14.7,5.0,Silver,177.5,Disc,Disc,1476.0,1814.0,4659.0,1860.0,231.0,Skoda,Octavia,1299000.0,pune,4.0
9778,Diesel,38000.0,1248.0,Manual,23.65,5.0,Silver,88.5,Ventilated Disc,Solid Disc,1595.0,1785.0,4300.0,1670.0,190.0,Maruti,SX4 S Cross,850000.0,pune,4.0
9779,Petrol,71500.0,1368.0,Manual,16.0,5.0,Grey,90.0,Ventilated Disc,Drum,1487.0,1730.0,4560.0,,165.0,Fiat,Linea,265000.0,pune,11.0
9780,Petrol,85000.0,999.0,Manual,0.0,5.0,Silver,,,,,,,,,Hyundai,Santro,85000.0,pune,19.0
