,Car_Name,Fuel_type,Running_in_kms,Endine_disp,Gear_transmission,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,cargo_volume,height,width,length,Weight,Insp_score,top_speed,City_url,Car_price
0,2012 Maruti Alto K10,Petrol,"89,579 kms",998,Manual,20.92 kmpl,5,White,67.1,Ventilated Disc,Drum,,1460,1475,3620,1185,8,,https://www.cardekho.com/used-cars+in+ahmedabad,1.77 Lakh
1,2016 Maruti Wagon R,Petrol,"81,674 kms",998,Manual,21.79 kmpl,5,White,67.05,Disc,Drum,341 Litres,1675,1620,3655,1340,9,,https://www.cardekho.com/used-cars+in+ahmedabad,3.6 Lakh
2,2011 Honda City,Petrol,"38,647 kms",1497,Manual,17 kmpl,5,Other,115.64,Disc,Drum,506 litres,1480,1695,4420,-,8.5,,https://www.cardekho.com/used-cars+in+ahmedabad,3.99 Lakh
3,2019 Maruti Swift Dzire,Petrol,"9,718 kms",1197,Manual,21.21 kmpl,5,White,81.8,Disc,Drum,378,1515,1735,3995,1315Kg,10,,https://www.cardekho.com/used-cars+in+ahmedabad,6.65 Lakh
4,2012 Maruti Eeco,Petrol,"57,341 kms",1196,Manual,16.11 kmpl,5,White,72.42,Disc,Drum,540,1825,1475,3675,1510,-,,https://www.cardekho.com/used-cars+in+ahmedabad,2.79 Lakh
5,2020 Maruti Eeco,Petrol,"17,116 kms",1196,Manual,16.11 kmpl,5,White,72.42,Disc,Drum,540,1825,1475,3675,1510,9.5,,https://www.cardekho.com/used-cars+in+ahmedabad,4.72 Lakh
6,2016 Maruti Eeco,Petrol,"45,347 kms",1196,Manual,15.37 kmpl,5,White,73,Ventilated Disc,Drum,540-liters,1800,1475,3675,1510,-,145 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,3.81 Lakh
7,2019 Maruti S-Presso,Petrol,"24,230 kms",998,Manual,21.7 kmpl,5,Red,67.05,Ventilated Disc,Drum,270,1564,1520,3565,1170,9.5,,https://www.cardekho.com/used-cars+in+ahmedabad,4.22 Lakh
8,2013 Toyota Innova,Diesel,"94,754 kms",2494,Manual,12.99 kmpl,8,Silver,100,Ventilated Disc,Leading-Trailing Drum,,1760,1760,4585,2300,8.5,,https://www.cardekho.com/used-cars+in+ahmedabad,6.7 Lakh
9,2017 Maruti Eeco,Petrol,"88,362 kms",1196,Manual,16.11 kmpl,5,Silver,72.42,Disc,Drum,540,1825,1475,3675,1510,-,,https://www.cardekho.com/used-cars+in+ahmedabad,3.97 Lakh
10,2019 Maruti Eeco,Petrol,"14,161 kms",1196,Manual,15.37 kmpl,5,White,73,Ventilated Disc,Drum,540-liters,1800,1475,3675,1510,9.5,145 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,4.57 Lakh
11,2020 Maruti Eeco,Petrol,"19,627 kms",1196,Manual,16.11 kmpl,5,White,72.42,Disc,Drum,540,1825,1475,3675,1510,-,,https://www.cardekho.com/used-cars+in+ahmedabad,4.7 Lakh
12,2019 Maruti Swift Dzire,Petrol,"11,935 kms",1197,Manual,21.21 kmpl,5,Grey,81.8,Disc,Drum,378,1515,1735,3995,1315Kg,9.5,,https://www.cardekho.com/used-cars+in+ahmedabad,6.95 Lakh
13,2017 Maruti Baleno,Petrol,"34,669 kms",1197,Manual,21.01 kmpl,5,Grey,81.8,Disc,Drum,339-litres,1510,1745,3995,1340,9,,https://www.cardekho.com/used-cars+in+ahmedabad,5.36 Lakh
14,2015 Maruti Swift Dzire,Diesel,"48,570 kms",1248,Manual,28.4 kmpl,5,White,74.02,Disc,Drum,-,1515,1735,3995,1405Kg,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,4.86 Lakh
15,2017 Honda City,Diesel,"70,012 kms",1498,Manual,26.0 kmpl,5,White,98.6,Disc,Drum,-,1495,1695,4440,-,-,175 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,7.42 Lakh
16,2017 Maruti SX4 S Cross,Diesel,"86,698 kms",1248,Manual,25.1 kmpl,5,Silver,88.5,Disc,Disc,-,1595,1785,4300,1670,-,164.5 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,6.6 Lakh
17,2013 Toyota Etios,Diesel,"98,070 kms",1364,Manual,23.59 kmpl,5,Silver,null ,-,-,-,-,-,-,-,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,3.52 Lakh
18,2014 Maruti Swift,Diesel,"1,00,821 kms",1248,Manual,25.2 kmpl,5,White,74,Ventilated Disc,Drum,-,1530,1735,3840,1405,-,155 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,3.04 Lakh
19,2011 Mahindra Xylo,Diesel,"1,61,779 kms",2498,Manual,14.0 kmpl,8,Brown,112,Ventilated Disc,Drum,-,1895,1850,4520,-,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,1.41 Lakh
20,2017 Maruti Baleno,Petrol,"49,072 kms",1197,Manual,21.01 kmpl,5,Blue,81.8,Disc,Drum,339-litres,1510,1745,3995,1340,9,,https://www.cardekho.com/used-cars+in+ahmedabad,6.1 Lakh
21,2013 Maruti Wagon R,Petrol,"85,416 kms",998,Manual,20.51 kmpl,5,Other,67.04,Ventilated Disc,Drum,180-liters,1700,1495,3599,1350,-,152 kmph,https://www.cardekho.com/used-cars+in+ahmedabad,2.8 Lakh
22,2016 Nissan Terrano,Diesel,"74,431 kms",1461,Manual,20.45 kmpl,5,Black,83.8,Disc,Drum,475-litres,1671,2000,4331,1764,9,156 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,4.7 Lakh
23,2017 Honda Amaze,Petrol,"59,642 kms",1198,Manual,17.8 kmpl,5,Silver,86.7,Disc,Drum,400-litres,1505,1680,3990,-,-,140 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,5.01 Lakh
24,2014 Maruti Wagon R,Petrol,"42,381 kms",998,Manual,21.79 kmpl,5,White,67.05,Disc,Drum,341 Litres,1675,1620,3655,1340,-,,https://www.cardekho.com/used-cars+in+ahmedabad,3.29 Lakh
25,2014 Maruti Wagon R,Petrol,"1,31,125 kms",998,Manual,21.79 kmpl,5,Grey,67.05,Disc,Drum,341 Litres,1675,1620,3655,1340,-,,https://www.cardekho.com/used-cars+in+ahmedabad,2.94 Lakh
26,2011 Maruti Wagon R,Petrol,"60,689 kms",998,Manual,20.51 kmpl,5,White,67.04,Ventilated Disc,Drum,180-liters,1700,1495,3599,1350,-,152 kmph,https://www.cardekho.com/used-cars+in+ahmedabad,2.67 Lakh
27,2013 Maruti Swift,Diesel,"72,301 kms",1248,Manual,22.9 kmpl,5,White,74,Ventilated Disc,Drum,,1530,1695,3850,1505,-,,https://www.cardekho.com/used-cars+in+ahmedabad,3.99 Lakh
28,2018 Volkswagen Vento,Diesel,"97,922 kms",1498,Manual,22.27 kmpl,5,White,108.6,Ventilated Disc,Drum,494,1467,1699,4390,1750,-,180 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,7.11 Lakh
29,2012 Maruti Swift Dzire,Diesel,"80,084 kms",1248,Manual,23.4 kmpl,5,Grey,74,Ventilated Disc,Drum,320 liters,1555,1695,3995,1505,-,,https://www.cardekho.com/used-cars+in+ahmedabad,3.4 Lakh
30,2019 Maruti Swift Dzire,Petrol,"9,303 kms",1197,Manual,21.21 kmpl,5,White,81.8,Disc,Drum,378,1515,1735,3995,1315Kg,9.5,,https://www.cardekho.com/used-cars+in+ahmedabad,6.84 Lakh
31,2017 Maruti Wagon R,Petrol,"43,031 kms",998,Manual,20.51 kmpl,5,White,67.04,Ventilated Disc,Drum,180-liters,1670,1475,3636,1350,9,152 kmph,https://www.cardekho.com/used-cars+in+ahmedabad,3.87 Lakh
32,2016 Maruti Swift,Petrol,"45,090 kms",1197,Manual,20.4 kmpl,5,White,81.8,Ventilated Disc,Drum,204-liters,1530,1735,3840,1315,9,165 kmph,https://www.cardekho.com/used-cars+in+ahmedabad,4.64 Lakh
33,2016 Maruti Baleno,Petrol,"51,069 kms",1197,Manual,21.4 kmpl,5,Blue,83.1,Disc,Drum,339-litres,1510,1745,3995,1340,8.5,180 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,4.82 Lakh
34,2014 Hyundai Verna,Diesel,"65,484 kms",1582,Manual,22.32 kmpl,5,White,126.32,Disc,Disc,465-litre,1475,1700,4370,-,-,190km/hr,https://www.cardekho.com/used-cars+in+ahmedabad,5.43 Lakh
35,2015 Hyundai Grand i10,Petrol,"73,875 kms",1197,Manual,18.9 kmpl,5,White,82,Disc,Drum,256-liters,1520,1660,3765,-,8,165 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,4.8 Lakh
36,2018 Honda City,Petrol,"89,144 kms",1497,Manual,17.4 kmpl,5,Other,117.6,Ventilated Disc,Drum,510,1495,1695,4440,1436,-,189 kmph,https://www.cardekho.com/used-cars+in+ahmedabad,7.64 Lakh
37,2016 Ford Ecosport,Diesel,"74,000 kms",1498,Manual,22.77 kmpl,5,White,98.59,Ventilated Disc,Drum,-,1708,1765,3999,-,-,182 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,7.25 Lakh
38,2019 Mercedes-Benz E-Class,Diesel,"16,000 kms",2987,Automatic,17.0 kmpl,5,White,254.8,Ventilated Disc,Disc,-,1494,1860,5063,-,-,250 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,62 Lakh
39,2018 Ford Ecosport,Diesel,"19,376 kms",1498,Manual,23.0 kmpl,5,White,98.96,Ventilated Disc,Drum,-,1647,1765,3998,1690Kg,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,9.25 Lakh
40,2013 Honda Brio,Petrol,"34,001 kms",1198,Manual,19.4 kmpl,5,Red,86.8,Disc,Drum,-,1500,1680,3610,-,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,3.65 Lakh
41,2014 Hyundai Grand i10,Petrol,"31,403 kms",1197,Manual,18.9 kmpl,5,White,82,Disc,Drum,-,1520,1660,3765,-,-,165 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,4.65 Lakh
42,2014 Mercedes-Benz S-Class,Diesel,"58,000 kms",2987,Automatic,13.5 kmpl,5,White,282,"Disc,internally ventilated",Disc,-,1479,1871,5226,2580,-,250 kmph,https://www.cardekho.com/used-cars+in+ahmedabad,34 Lakh
43,2016 Mercedes-Benz E-Class,Diesel,"48,000 kms",2143,Automatic,13.0 kmpl,5,White,204,Ventilated Disc,Solid Disc,-,1474,2071,4879,2280,-,242 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,26.51 Lakh
44,2014 Audi Q3,Diesel,"71,003 kms",1968,Automatic,15.73 kmpl,5,White,174.33,Ventilated Disc,Drum,-,1608,2019,4385,2185,-,212 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,16.5 Lakh
45,2019 Ford Endeavour,Diesel,"30,000 kms",2198,Manual,14.2 kmpl,7,Black,158.2,Disc,Disc,-,1837,1869,4903,-,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,29.5 Lakh
46,2017 Ford Ecosport,Diesel,"72,000 kms",1498,Manual,23.0 kmpl,5,White,98.96,Ventilated Disc,Drum,-,1647,1765,3998,1690Kg,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,6.75 Lakh
47,2012 Toyota Etios,Diesel,"95,000 kms",1364,Manual,23.59 kmpl,5,Silver,null ,-,-,-,-,-,-,-,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,3.9 Lakh
48,2019 Volkswagen Polo,Petrol,"38,500 kms",999,Manual,18.78 kmpl,5,Blue,75,Disc,Drum,-,1469,1682,3971,1500Kg,-,165 kmph,https://www.cardekho.com/used-cars+in+ahmedabad,6.9 Lakh
49,2017 Honda BR-V,Diesel,"54,000 kms",1498,Manual,21.9 kmpl,7,White,98.6,Disc,Drum,-,1666,1735,4453,-,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,7.9 Lakh
50,2018 Maruti Wagon R,Petrol,"23,000 kms",998,Automatic,21.79 kmpl,5,Silver,67.05,Disc,Drum,-,1675,1620,3655,1340,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,5.15 Lakh
51,2019 Honda City,Petrol,"13,300 kms",1497,Automatic,18.0 kmpl,5,White,117.6,Ventilated Disc,Drum,-,1495,1695,4440,1455,-,195 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,12 Lakh
52,2018 Honda Jazz,Petrol,"28,000 kms",1199,Automatic,18.2 kmpl,5,Red,88.7,Disc,Drum,-,1544,1694,3955,-,-,172 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,8.25 Lakh
53,2017 Hyundai Verna,Diesel,"54,000 kms",1582,Manual,22.0 kmpl,5,Black,126.2,Disc,Drum,-,1475,1729,4440,-,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,7 Lakh
54,2016 Ford Ecosport,Diesel,"51,000 kms",1498,Manual,22.77 kmpl,5,Silver,98.59,Ventilated Disc,Drum,-,1708,1765,3999,-,-,182 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,7.5 Lakh
55,2015 Hyundai Verna,Diesel,"64,000 kms",1582,Manual,22.32 kmpl,5,White,126.32,Disc,Disc,-,1475,1700,4370,-,-,190km/hr,https://www.cardekho.com/used-cars+in+ahmedabad,6.49 Lakh
56,2016 Mahindra XUV500,Diesel,"65,000 kms",2179,Manual,16.0 kmpl,7,Black,140,Disc,Disc,-,1785,1890,4585,2510,-,185 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,8.5 Lakh
57,2016 Jaguar XF,Diesel,"47,000 kms",2179,Automatic,16.36 kmpl,5,White,187.7,Disc,Disc,-,1460,1877,4961,2320,-,225 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,23.9 Lakh
58,2014 Hyundai EON,Petrol,"75,000 kms",814,Manual,21.1 kmpl,5,Grey,55.2,Disc,Drum,-,1500,1550,3495,-,-,135 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,2.75 Lakh
59,2017 BMW 3 Series,Diesel,"68,000 kms",1995,Automatic,22.69 kmpl,5,White,190,Disc,Disc,-,1429,1811,4824,-,-,230 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,25.9 Lakh
60,2019 Hyundai Grand i10,Petrol,"49,000 kms",1197,Manual,18.9 kmpl,5,Silver,81.86,Disc,Drum,-,1520,1660,3765,-,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,5.75 Lakh
61,2014 Hyundai Grand i10,Diesel,"76,900 kms",1120,Manual,24.0 kmpl,5,Blue,70,Disc,Drum,-,1520,1660,3765,-,-,157 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,4.5 Lakh
62,2019 Mercedes-Benz E-Class,Diesel,"30,486 kms",1950,Automatic,16.1 kmpl,5,Blue,191.7,Ventilated Disc,Disc,-,1494,1860,5063,-,-,240 kmph,https://www.cardekho.com/used-cars+in+ahmedabad,48 Lakh
63,2008 Honda Accord,Petrol,"85,341 kms",2354,Manual,12.8 kmpl,5,White,177.6,Multilateral Disc,Solid Disc,-,1475,1845,4950,-,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,3 Lakh
64,2016 Maruti Swift Dzire,Diesel,"66,000 kms",1248,Manual,26.59 kmpl,5,White,74,Ventilated Disc,Drum,-,1555,1695,3995,1505,-,169 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,4.85 Lakh
65,2018 Skoda Octavia,Petrol,"21,000 kms",1798,Automatic,15.1 kmpl,5,Grey,178,Disc,Disc,-,1476,1814,4670,1860,-,220 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,19.75 Lakh
66,2010 Mercedes-Benz New C-Class,Petrol,"85,000 kms",1796,Automatic,11.74 kmpl,5,Silver,186,Ventilated Disc,Solid Disc,-,1447,1770,4591,2020,-,230km/hr,https://www.cardekho.com/used-cars+in+ahmedabad,8.5 Lakh
67,2017 Maruti Swift Dzire,Diesel,"20,634 kms",1248,Manual,19.3 kmpl,5,White,73.9,Ventilated Disc,Drum,-,1530,1690,4160,-,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,6.49 Lakh
68,2018 Audi A4,Diesel,"14,667 kms",1968,Automatic,18.25 kmpl,5,Blue,187.74,Ventilated Disc,Disc,-,1427,1842,4726,2075Kg,-,237 kmph,https://www.cardekho.com/used-cars+in+ahmedabad,32 Lakh
69,2012 BMW 3 Series,Diesel,"68,000 kms",1995,Automatic,13.2 kmpl,5,Brown,170,Disc,Disc,-,1421,1817,4531,1965,-,216 kmph,https://www.cardekho.com/used-cars+in+ahmedabad,14.91 Lakh
70,2012 Honda Brio,Petrol,"44,721 kms",1198,Manual,19.4 kmpl,5,White,86.8,Disc,Drum,-,1500,1680,3610,-,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,3.45 Lakh
71,2014 Honda Amaze,Diesel,"67,000 kms",1498,Manual,25.8 kmpl,5,White,98.6,Disc,Drum,-,1505,1680,3990,-,-,170 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,4.4 Lakh
72,2016 Hyundai Xcent,Diesel,"19,000 kms",1186,Manual,25.4 kmpl,5,Silver,73.97,Disc,Drum,-,1520,1660,3995,-,-,156 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,5.75 Lakh
73,2014 Nissan Sunny,Diesel,"73,000 kms",1461,Manual,21.64 kmpl,5,Silver,84.8,Disc,Drum,-,1505,1695,4425,-,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,3.45 Lakh
74,2011 Volkswagen Vento,Petrol,"55,417 kms",1598,Manual,15.04 kmpl,5,Silver,103.6,Disc,Drum,-,1466,1699,4384,1680,-,185km/hr,https://www.cardekho.com/used-cars+in+ahmedabad,3.75 Lakh
75,2010 Volkswagen Passat,Petrol,"65,329 kms",1798,Manual,14.3 kmpl,5,White,160,Disc,Disc,-,1475,1820,4765,2030,-,220 kmph,https://www.cardekho.com/used-cars+in+ahmedabad,5.25 Lakh
76,2009 Hyundai Grand i10,Petrol,"65,000 kms",1197,Manual,20.36 kmpl,5,Silver,78.9,Ventilated Disc,Drum,-,1550,1595,3585,-,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,2.25 Lakh
77,2017 Maruti Swift Dzire,Diesel,"43,000 kms",1248,Automatic,28.4 kmpl,5,Silver,74.02,Disc,Drum,-,1515,1735,3995,1405Kg,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,6.75 Lakh
78,2016 Honda City,Petrol,"55,000 kms",1497,Automatic,18.0 kmpl,5,White,117.3,Disc,Drum,-,1495,1695,4440,-,-,195 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,8.78 Lakh
79,2015 Ford Endeavour,Diesel,"27,000 kms",2499,Manual,13.1 kmpl,7,White,141,Ventilated Disc,Self Adjusting Drum,-,1826,1788,5062,-,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,8.5 Lakh
80,2018 Toyota Fortuner,Diesel,"49,000 kms",2755,Manual,14.24 kmpl,7,White,174.5,Ventilated Disc,Ventilated Disc,-,1835,1855,4795,2610Kg,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,27 Lakh
81,2019 Hyundai Verna,Petrol,"11,900 kms",1591,Automatic,17.0 kmpl,5,White,121.3,Disc,Drum,-,1475,1729,4440,-,-,158.83 kmph,https://www.cardekho.com/used-cars+in+ahmedabad,11.35 Lakh
82,2014 Hyundai Santa Fe,Diesel,"78,000 kms",2199,Automatic,13.01 kmpl,7,White,194.3,Ventilated Disc,Solid Disc,-,1690,1880,4690,-,-,182 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,12.51 Lakh
83,2014 Maruti Swift Dzire,Diesel,"62,000 kms",1248,Manual,23.4 kmpl,5,Silver,74,Ventilated Disc,Drum,-,1555,1695,3995,1505,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,4.75 Lakh
84,2014 Hyundai i20,Diesel,"38,000 kms",1396,Manual,22.54 kmpl,5,White,88.73,Disc,Drum,-,1505,1734,3985,-,-,180 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,4.9 Lakh
85,2015 Honda Mobilio,Diesel,"41,665 kms",1498,Manual,24.2 kmpl,7,White,98.6,Disc,Drum,-,1603,1683,4386,-,-,165 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,5.35 Lakh
86,2016 Maruti SX4 S Cross,Diesel,"62,000 kms",1248,Manual,23.65 kmpl,5,White,88.5,Ventilated Disc,Solid Disc,-,1595,1785,4300,1670,-,160 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,5.9 Lakh
87,2012 Maruti Swift,Diesel,"68,000 kms",1248,Manual,22.9 kmpl,5,White,74,Ventilated Disc,Drum,-,1530,1695,3850,1505,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,3.9 Lakh
88,2008 Maruti Wagon R,Petrol,"68,000 kms",998,Manual,21.79 kmpl,5,White,67.05,Disc,Drum,-,1675,1620,3655,1340,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,1.9 Lakh
89,2015 Hyundai Creta,Diesel,"95,106 kms",1582,Automatic,17.01 kmpl,5,Silver,126.2,Disc,Drum,-,1630,1780,4270,-,-,190 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,9 Lakh
90,2013 Toyota Etios Liva,Diesel,"38,000 kms",1364,Manual,23.59 kmpl,5,Grey,67.06,Ventilated DIsc,Drum,-,1510,1695,3775,-,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,4.25 Lakh
91,2018 Hyundai Grand i10,Diesel,"41,000 kms",1186,Manual,24.0 kmpl,5,White,73.97,Disc,Drum,-,1520,1660,3765,-,-,151.63 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,5.15 Lakh
92,2018 Maruti Vitara Brezza,Diesel,"55,900 kms",1248,Manual,24.3 kmpl,5,White,88.5,Ventilated Disc,Drum,-,1640,1790,3995,1680,-,172 kmph,https://www.cardekho.com/used-cars+in+ahmedabad,8.15 Lakh
93,2016 Maruti Ertiga,Diesel,"42,000 kms",1248,Manual,24.52 kmpl,7,White,88.5,Ventilated Disc,Drum,-,1685,1695,4296,-,-,160 kmph,https://www.cardekho.com/used-cars+in+ahmedabad,7.4 Lakh
94,2014 Renault Duster,Diesel,"89,000 kms",1461,Manual,19.01 kmpl,5,Brown,108.45,Ventilated Disc,Drum,-,1695,1822,4315,1781,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,5.25 Lakh
95,2010 Toyota Fortuner,Diesel,"65,000 kms",2982,Manual,11.5 kmpl,7,Black,171,Ventilated Disc,Leading-Trailing Drum,-,1850,1840,4695,2510,-,176 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,8.9 Lakh
96,2011 Volkswagen Vento,Diesel,"68,000 kms",1598,Manual,20.54 kmpl,5,White,103.6,Disc,Drum,-,1466,1699,4384,1760,-,186km/hr,https://www.cardekho.com/used-cars+in+ahmedabad,3.3 Lakh
97,2012 Volkswagen Vento,Diesel,"55,000 kms",1598,Manual,20.54 kmpl,5,White,103.6,Disc,Drum,-,1466,1699,4384,1760,-,186km/hr,https://www.cardekho.com/used-cars+in+ahmedabad,3.3 Lakh
98,2018 Hyundai Creta,Diesel,"57,000 kms",1396,Manual,22.1 kmpl,5,White,88.7,Disc,Drum,-,1665,1780,4270,-,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,9.75 Lakh
99,2017 Hyundai i20,Diesel,"52,000 kms",1396,Manual,22.54 kmpl,5,White,88.73,Disc,Drum,-,1505,1734,3985,-,-,180 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,5.75 Lakh
100,2014 Hyundai i20,Diesel,"38,000 kms",1396,Manual,22.54 kmpl,5,White,88.73,Disc,Drum,-,1505,1734,3985,-,-,180 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,4.9 Lakh
101,2018 Maruti Baleno,Petrol,"28,000 kms",1197,Manual,21.01 kmpl,5,Blue,81.8,Disc,Drum,-,1510,1745,3995,1340,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,7 Lakh
102,2015 Honda Mobilio,Diesel,"41,665 kms",1498,Manual,24.2 kmpl,7,White,98.6,Disc,Drum,-,1603,1683,4386,-,-,165 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,5.35 Lakh
103,2016 Maruti SX4 S Cross,Diesel,"62,000 kms",1248,Manual,23.65 kmpl,5,White,88.5,Ventilated Disc,Solid Disc,-,1595,1785,4300,1670,-,160 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,5.9 Lakh
104,2012 Maruti Swift,Diesel,"68,000 kms",1248,Manual,22.9 kmpl,5,White,74,Ventilated Disc,Drum,-,1530,1695,3850,1505,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,3.9 Lakh
105,2008 Maruti Wagon R,Petrol,"68,000 kms",998,Manual,21.79 kmpl,5,White,67.05,Disc,Drum,-,1675,1620,3655,1340,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,1.9 Lakh
106,2015 Hyundai Creta,Diesel,"95,106 kms",1582,Automatic,17.01 kmpl,5,Silver,126.2,Disc,Drum,-,1630,1780,4270,-,-,190 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,9 Lakh
107,2013 Toyota Etios Liva,Diesel,"38,000 kms",1364,Manual,23.59 kmpl,5,Grey,67.06,Ventilated DIsc,Drum,-,1510,1695,3775,-,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,4.25 Lakh
108,2018 Hyundai Grand i10,Diesel,"41,000 kms",1186,Manual,24.0 kmpl,5,White,73.97,Disc,Drum,-,1520,1660,3765,-,-,151.63 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,5.15 Lakh
109,2018 Maruti Vitara Brezza,Diesel,"55,900 kms",1248,Manual,24.3 kmpl,5,White,88.5,Ventilated Disc,Drum,-,1640,1790,3995,1680,-,172 kmph,https://www.cardekho.com/used-cars+in+ahmedabad,8.15 Lakh
110,2016 Maruti Ertiga,Diesel,"42,000 kms",1248,Manual,24.52 kmpl,7,White,88.5,Ventilated Disc,Drum,-,1685,1695,4296,-,-,160 kmph,https://www.cardekho.com/used-cars+in+ahmedabad,7.4 Lakh
111,2014 Renault Duster,Diesel,"89,000 kms",1461,Manual,19.01 kmpl,5,Brown,108.45,Ventilated Disc,Drum,-,1695,1822,4315,1781,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,5.25 Lakh
112,2010 Toyota Fortuner,Diesel,"65,000 kms",2982,Manual,11.5 kmpl,7,Black,171,Ventilated Disc,Leading-Trailing Drum,-,1850,1840,4695,2510,-,176 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,8.9 Lakh
113,2011 Volkswagen Vento,Diesel,"68,000 kms",1598,Manual,20.54 kmpl,5,White,103.6,Disc,Drum,-,1466,1699,4384,1760,-,186km/hr,https://www.cardekho.com/used-cars+in+ahmedabad,3.3 Lakh
114,2012 Volkswagen Vento,Diesel,"55,000 kms",1598,Manual,20.54 kmpl,5,White,103.6,Disc,Drum,-,1466,1699,4384,1760,-,186km/hr,https://www.cardekho.com/used-cars+in+ahmedabad,3.3 Lakh
115,2018 Hyundai Creta,Diesel,"57,000 kms",1396,Manual,22.1 kmpl,5,White,88.7,Disc,Drum,-,1665,1780,4270,-,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,9.75 Lakh
116,2017 Hyundai i20,Diesel,"52,000 kms",1396,Manual,22.54 kmpl,5,White,88.73,Disc,Drum,-,1505,1734,3985,-,-,180 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,5.75 Lakh
117,2019 Kia Seltos,Diesel,"34,000 kms",1493,Automatic,17.8 kmpl,5,Blue,113.4,Disc,Disc,-,1645,1800,4315,-,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,13.5 Lakh
