,Car_Name,Fuel_type,Running_in_kms,Endine_disp,Gear_transmission,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,cargo_volume,height,width,length,Weight,Insp_score,top_speed,City_url,Car_price
8303,2016 Toyota Innova Crysta,Diesel,"93,000 kms",2393,Manual,13.68 kmpl,7,Silver,147.8,Disc,Drum,-,1795,1830,4735,2430,-,-,https://www.cardekho.com/used-cars+in+mumbai,14.85 Lakh
8304,2020 Maruti Vitara Brezza,Diesel,"14,438 kms",1248,Manual,24.3 kmpl,5,White,88.5,Ventilated Disc,Drum,-,1640,1790,3995,1680,-,172 kmph,https://www.cardekho.com/used-cars+in+mumbai,11.85 Lakh
8305,2017 Maruti Baleno,Petrol,"36,080 kms",1197,Manual,21.4 kmpl,5,Blue,83.1,Disc,Drum,-,1510,1745,3995,1360,-,180 Kmph,https://www.cardekho.com/used-cars+in+mumbai,6.4 Lakh
8306,2016 Hyundai Creta,Petrol,"34,025 kms",1591,Manual,13.0 kmpl,5,Silver,121.3,Disc,Drum,-,1630,1780,4270,-,-,-,https://www.cardekho.com/used-cars+in+mumbai,9.5 Lakh
8307,2017 Maruti Swift Dzire,Petrol,"36,000 kms",1197,Manual,22.0 kmpl,5,Brown,81.8,Ventilated Disc,Drum,-,1515,1735,3995,1315Kg,-,-,https://www.cardekho.com/used-cars+in+mumbai,6.45 Lakh
8308,2017 Maruti Celerio,Petrol,"27,742 kms",998,Manual,23.1 kmpl,5,White,67.04,Ventilated Disc,Drum,-,1565,1635,3715,1250,-,150 Kmph,https://www.cardekho.com/used-cars+in+mumbai,4.5 Lakh
8309,2014 Nissan Sunny,Diesel,"94,000 kms",1461,Manual,21.64 kmpl,5,Grey,84.8,Disc,Drum,-,1505,1695,4425,-,-,-,https://www.cardekho.com/used-cars+in+mumbai,3.25 Lakh
8310,2014 Renault Duster,Diesel,"62,000 kms",1461,Manual,19.01 kmpl,5,White,108.45,Ventilated Disc,Drum,-,1695,1822,4315,1781,-,-,https://www.cardekho.com/used-cars+in+mumbai,6.25 Lakh
8311,2013 Renault Scala,Diesel,"66,000 kms",1461,Manual,21.64 kmpl,5,White,84.8,Disc,Drum,-,1505,1695,4425,-,-,160 Kmph,https://www.cardekho.com/used-cars+in+mumbai,3.35 Lakh
8312,2017 Maruti Celerio,Petrol,"38,000 kms",998,Manual,23.1 kmpl,5,White,67.04,Ventilated Disc,Drum,-,1565,1635,3715,1250,-,150 Kmph,https://www.cardekho.com/used-cars+in+mumbai,4.85 Lakh
