,Car_Name,Car_details,Endine_disp,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,cargo_volume,height,width,length,Gross_Weight,top_speed,Ownership,Year_of_Manufacture,Steering_Type,Car_price
1018,2014 Hyundai Verna 1.6 SX VTVT AT,"84,000 kms • Petrol • Automatic",1591 ,15.74,5,White,121.3,Disc,Disc,465-litre,1475,1700,4370,-,-,Second Owner,2014,Power,₹ 6.25 Lakh
1019,2017 Mahindra Thar CRDe,"45,000 kms • Diesel • Manual",2498 ,16.55,6,Black,105,Disc,Drum,384,1930,1726,3920,-,154 Kmph,First Owner,2017,Power,₹ 9.70 Lakh
1020,2016 Hyundai Creta 1.6 VTVT SX Plus,"67,497 kms • Petrol • Manual",1591 ,13,5,Grey,121.3,Disc,Drum,400-litres,1630,1780,4270,-,-,First Owner,2016,Power,₹ 9.20 Lakh
1021,2012 Honda City V MT,"77,095 kms • Petrol • Manual",1497 ,16.8,5,Black,116.3,Disc,Drum,506-litres,1485,1695,4440,-,-,First Owner,2012,Power,₹ 5.61 Lakh
1022,2016 Renault Duster 85PS Diesel RxZ,"26,182 kms • Diesel • Manual",1461 ,19.87,5,White,83.8,Disc,Drum,475-litres,1695,1822,4315,1777,156 Kmph,Second Owner,2016,Power,₹ 9.01 Lakh
1023,2016 Maruti Alto 800 VXI Optional,"40,518 kms • Petrol • Manual",796 ,24.7,5,Silver,47.3,Solid Disc,Drum,177-litres,1475,1515,3430,1185,140 kmph,First Owner,2016,Power,₹ 3.50 Lakh
1024,2016 Maruti Swift Dzire VDI,"94,112 kms • Diesel • Manual",1248 ,28.4,5,Silver,74.02,Disc,Drum,378,1515,1735,3995,1405Kg,-,First Owner,2016,Power,₹ 6.03 Lakh
1025,2020 Maruti SX4 S Cross Alpha,"34,587 kms • Petrol • Manual",1462 ,18.55,5,Blue,103.25,Ventilated Disc,Solid Disc,375,1595,1785,4300,1640,-,First Owner,2020,-,₹ 10.93 Lakh
1026,2017 Skoda Rapid 1.5 TDI Ambition BSIV,"48,686 kms • Diesel • Manual",1498 ,21.13,5,Silver,108.6,Disc,Drum,460,1466,1699,4413,1750Kg,185kmph,Second Owner,2017,Power,₹ 8.63 Lakh
1027,2021 Jeep Compass 1.4 Longitude Opt DCT,"9,553 kms • Petrol • Automatic",1368 ,14.1,5,Black,160.77,Disc,Disc,-,1640,1818,4405,-,-,First Owner,2021,Power,₹ 23.40 Lakh
1028,2017 Renault Duster Petrol RXS CVT,"63,864 kms • Petrol • Automatic",1498 ,14.99,5,White,104.5,Disc,Drum,475-litres,1695,1822,4315,1770,160 Kmph,First Owner,2017,Power,₹ 8.67 Lakh
1029,2012 Maruti Swift Dzire VXi,"63,087 kms • Petrol • Manual",1298 ,17.5,5,Black,85.8,Ventilated Disc,Drum,464 litres,1530,1690,4160,-,-,Third Owner,2012,Power,₹ 4.05 Lakh
1030,2017 Datsun RediGO 1.0 S,"64,774 kms • Petrol • Manual",999 ,22.5,5,Silver,67,Disc,Drum,222,1541,1560,3429,-,-,First Owner,2017,Power,₹ 3.02 Lakh
1031,2016 Maruti Baleno 1.2 Zeta,"35,502 kms • Petrol • Manual",1197 ,21.4,5,Blue,83.1,Disc,Drum,339-litres,1510,1745,3995,1340,180 Kmph,First Owner,2016,Power,₹ 6.40 Lakh
1032,2021 Mahindra Thar LX 4-Str Hard Top Diesel,"21,283 kms • Diesel • Manual",2184 ,15.2,4,Grey,130,Disc,Drum,-,1844,1855,3985,-,-,First Owner,2021,Power,₹ 17.45 Lakh
1033,2019 Hyundai Creta 1.6 SX,"75,000 kms • Petrol • Manual",1591 ,15.8,5,White,121.3,Disc,Drum,400,1665,1780,4270,-,-,First Owner,2019,Power,₹ 12.45 Lakh
1034,2021 Hyundai i20 Sportz Turbo iMT,"9,022 kms • Petrol • Manual",998 ,20,5,Navy Blue,118.36,Disc,Drum,311,1505,1775,3995,-,-,First Owner,2021,Electric,₹ 9.35 Lakh
1035,2022 Mahindra Thar LX 4-Str Hard Top,"20,000 kms • Petrol • Manual",1997 ,15.2,4,Grey,150,Disc,Drum,-,1844,1855,3985,-,-,First Owner,2022,Power,₹ 15.95 Lakh
1036,2018 Mercedes-Benz GLA Class 200 d Sport,"55,000 kms • Diesel • Automatic",2143 ,17.9,5,Red,136,Disc,Disc,421-litres,1494,1804 ,4424 ,2020 ,205 Kmph,First Owner,2018,Power,₹ 29.35 Lakh
1037,2021 Mahindra XUV500 W11 Option,"24,067 kms • Diesel • Manual",2179 ,15.1,7,Black,152.87,Ventilated Disc,Disc,-,1785,1890,4585,2510,-,First Owner,2021,Power,₹ 21.45 Lakh
1038,2016 Hyundai Elantra SX AT,"64,000 kms • Petrol • Automatic",1797 ,14.5,5,White,147.4,Disc,Disc,420-litres,1470,1775,4550,1640,191 Kmph,First Owner,2016,Power,₹ 10.75 Lakh
1039,2017 Audi Q7 45 TDI Quattro Technology,"46,001 kms • Diesel • Automatic",2967 ,14.75,7,Blue,245,Ventilated Disc,Ventilated Disc,890 litres,1740 ,2212 ,5052 ,2925 ,234 Kmph,First Owner,2017,Power,₹ 65 Lakh
1040,2017 Hyundai Verna VTVT 1.6 AT SX Option,"77,089 kms • Petrol • Automatic",1591 ,17,5,White,121.3,Disc,Drum,480,1475,1729,4440,-,158.83 kmph,First Owner,2017,Power,₹ 9.58 Lakh
