,Endine_disp,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,cargo_volume,height,width,length,Gross_Weight,top_speed,Ownership,Steering_Type,Car_price,Brand,Model,Running_kms,Fuel_type,Gear_Transmission,Car_age
28,998.0,23.95,5.0,Silver,67.05,Ventilated Disc,Drum,177.0,1475.0,1515.0,3545.0,1210.0,145.0,First Owner,Power,346000.0,maruti,alto k10 vxi,59306.0, Petrol , Manual,9.0
29,999.0,24.04,5.0,Grey,67.0,Disc,Drum,300.0,1478.0,1579.0,3679.0,1580.0,159.0,Second Owner,Power,422000.0,renault,kwid 1.0 amt rxl,33129.0, Petrol , Automatic,5.0
30,1197.0,21.21,5.0,Red,81.8,Disc,Drum,268.0,1530.0,1735.0,3840.0,1315.0,170.0,First Owner,Electric,639000.0,maruti,swift vxi,48500.0, Petrol , Manual,5.0
31,999.0,24.04,5.0,Black,67.0,Disc,Drum,300.0,1478.0,1579.0,3679.0,1580.0,159.0,First Owner,Power,397000.0,renault,kwid 1.0 amt rxt,62916.0, Petrol , Automatic,6.0
32,1497.0,18.0,5.0,Black,117.6,Ventilated Disc,Drum,510.0,1495.0,1695.0,4440.0,1482.0,178.0,First Owner,Power,1210000.0,honda,city i-vtec cvt zx,26929.0, Petrol , Automatic,4.0
33,999.0,20.5,5.0,Blue,98.63,Disc,Drum,405.0,1605.0,1750.0,3991.0,1580.0,170.0,First Owner,Electric,922000.0000000001,renault,kiger rxz turbo dt,11285.0, Petrol , Manual,2.0
34,2967.0,17.42,5.0,White,215.90699999999987,Ventilated Disc,Ventilated Disc,520.0,1466.0,2060.0,4903.0,1580.0,236.0,Second Owner,Power,5750000.0,bmw,5 series 530d m sport,31000.0, Diesel , Automatic,4.0
35,814.0,21.1,5.0,Red,55.2,Disc,Drum,215.0,1500.0,1550.0,3495.0,1580.0,135.0,First Owner,Power,322000.0,hyundai,eon magna plus,74054.0, Petrol , Manual,7.0
36,999.0,17.4,5.0,Red,98.63,Disc,Drum,336.0,1572.0,1758.0,3994.0,1580.0,170.0,First Owner,Electronic,1090000.0,nissan,magnite turbo cvt xv,3994.15, Petrol , Automatic,1.0
37,998.0,25.3,5.0,Black,65.71,Ventilated Disc,Drum,350.0,1567.0,1520.0,3565.0,1185.0,170.0,First Owner,Power,607000.0,maruti,s-presso vxi opt at,3994.15, Petrol , Automatic,1.0
38,1591.0,13.0,5.0,Star Dust,121.3,Disc,Drum,400.0,1630.0,1780.0,4270.0,1580.0,170.0,Second Owner,Power,999000.0,hyundai,creta 1.6 vtvt at sx plus,70035.0, Petrol , Automatic,7.0
39,1197.0,22.0,5.0,Blue,81.8,Disc,Drum,350.0,1530.0,1735.0,3840.0,1315.0,170.0,Second Owner,Power,531000.0,maruti,swift vvt vxi,50711.0, Petrol , Manual,9.0
40,1353.0,16.8,5.0,White,113.43,Disc,Disc,433.0,1645.0,1800.0,4315.0,1580.0,170.0,First Owner,Electric,1584000.0,kia,seltos gtx,11559.0, Petrol , Manual,3.0
41,998.0,16.98,5.0,Grey,66.1,Ventilated Disc,Drum,350.0,1490.0,1600.0,3500.0,1320.0,170.0,First Owner,Power,326000.0,maruti,a-star at vxi,45848.0, Petrol , Automatic,11.0
42,2967.0,16.12,5.0,Brown,215.90699999999987,Ventilated Disc,Ventilated Disc,425.0,1427.0,1801.0,4380.0,1665.0,236.0,First Owner,Power,7800000.0,porsche,cayman s tiptronic,17000.0, Petrol , Automatic,9.0
43,1497.0,17.8,5.0,Maroon,117.3,Disc,Drum,510.0,1495.0,1695.0,4440.0,1580.0,195.0,First Owner,Power,732000.0,honda,city i vtec v,63623.0, Petrol , Manual,6.0
44,1497.0,16.8,5.0,White,113.43,Disc,Disc,433.0,1645.0,1800.0,4315.0,1580.0,170.0,First Owner,Electric,1193000.0,kia,seltos htk plus g,20670.0, Petrol , Manual,4.0
45,1197.0,19.1,5.0,Grey,82.0,Disc,Drum,407.0,1520.0,1660.0,3995.0,1580.0,172.0,First Owner,Power,409999.99999999994,hyundai,xcent 1.2 kappa s,65846.0, Petrol , Manual,9.0
46,999.0,23.01,5.0,Red,67.0,Disc,Drum,300.0,1478.0,1579.0,3679.0,1580.0,155.0,First Owner,Power,446000.0,renault,kwid 1.0 rxt optional at 2016-2019,59545.0, Petrol , Automatic,5.0
47,1493.0,18.6,5.0,Maroon,113.42,Disc,Drum,392.0,1642.0,1790.0,3995.0,1580.0,170.0,First Owner,Electric,1538000.0,kia,sonet 1.5 gtx plus diesel at dt,3994.15, Diesel , Automatic,1.0
48,1197.0,17.0,5.0,Grey,80.0,Disc,Drum,350.0,1505.0,1710.0,3940.0,1580.0,170.0,Second Owner,Power,360000.0,hyundai,i20 1.2 asta,76022.0, Petrol , Manual,13.0
49,1498.0,14.99,5.0,Black,104.5,Disc,Drum,475.0,1695.0,1822.0,4315.0,1770.0,160.0,Second Owner,Power,819999.9999999999,renault,duster petrol rxs cvt,26969.0, Petrol , Automatic,5.0
50,814.0,21.1,5.0,Blue,55.2,Disc,Drum,215.0,1500.0,1550.0,3495.0,1580.0,135.0,First Owner,Power,320000.0,hyundai,eon magna plus,48075.0, Petrol , Manual,8.0
51,998.0,18.9,5.0,Maroon,67.1,Ventilated Disc,Drum,350.0,1700.0,1495.0,3595.0,1350.0,170.0,First Owner,Power,345000.0,maruti,wagon r vxi bs iv,58232.0, Petrol , Manual,11.0
52,1353.0,16.5,5.0,Red,138.08,Disc,Disc,433.0,1645.0,1800.0,4315.0,1580.0,170.0,Third Owner,Electric,2007000.0,kia,seltos gtx plus dct,3994.15, Petrol , Automatic,1.0
53,998.0,23.1,5.0,Grey,67.04,Ventilated Disc,Drum,235.0,1565.0,1635.0,3715.0,1250.0,150.0,First Owner,Power,494000.00000000006,maruti,celerio vxi at optional,77071.0, Petrol , Automatic,6.0
54,998.0,20.92,5.0,Maroon,67.1,Ventilated Disc,Drum,350.0,1460.0,1480.25,3620.0,1185.0,170.0,Second Owner,Power,246000.0,maruti,alto k10 2010-2014 vxi,61766.0, Petrol , Manual,11.0
